type,year,nb
PV,2018,1
PV,2019,3
PV,2020,0
PV,2021,2
PV,2022,3
PV,2023,3
ASCL,2018,0
ASCL,2019,0
ASCL,2020,0
ASCL,2021,1
ASCL,2022,0
ASCL,2023,0
ACL,2018,32
ACL,2019,34
ACL,2020,29
ACL,2021,20
ACL,2022,25
ACL,2023,23
ACLN,2018,0
ACLN,2019,0
ACLN,2020,1
ACLN,2021,2
ACLN,2022,1
ACLN,2023,0
INV,2018,1
INV,2019,1
INV,2020,0
INV,2021,3
INV,2022,2
INV,2023,2
COM,2018,23
COM,2019,22
COM,2020,13
COM,2021,20
COM,2022,22
COM,2023,22
ACTI,2018,15
ACTI,2019,24
ACTI,2020,15
ACTI,2021,20
ACTI,2022,19
ACTI,2023,20
ACTN,2018,6
ACTN,2019,1
ACTN,2020,2
ACTN,2021,1
ACTN,2022,6
ACTN,2023,2
OS,2018,4
OS,2019,8
OS,2020,2
OS,2021,3
OS,2022,1
OS,2023,1
DO,2018,0
DO,2019,0
DO,2020,0
DO,2021,0
DO,2022,0
DO,2023,0
AP,2018,4
AP,2019,4
AP,2020,2
AP,2021,2
AP,2022,3
AP,2023,7
TH,2018,5
TH,2019,7
TH,2020,8
TH,2021,7
TH,2022,6
TH,2023,9
AFF,2018,7
AFF,2019,5
AFF,2020,0
AFF,2021,2
AFF,2022,8
AFF,2023,10
