"SO","Freq"
"ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION",12
"REMOTE SENSING",12
"INTERNATIONAL JOURNAL OF CARTOGRAPHY",9
"30TH INTERNATIONAL CARTOGRAPHIC CONFERENCE (ICC 2021) VOL 4",7
"IGARSS 2018 - 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM",7
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING",7
"REMOTE SENSING OF ENVIRONMENT",5
"2019 JOINT URBAN REMOTE SENSING EVENT (JURSE)",4
"2020 MEDITERRANEAN AND MIDDLE-EAST GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (M2GARSS)",4
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE",4
"XXIV ISPRS CONGRESS IMAGING TODAY FORESEEING TOMORROW COMMISSION II",4
"2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2019)",3
"2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022)",3
"CARTOGRAPHY AND GEOGRAPHIC INFORMATION SCIENCE",3
"IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING",3
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING",3
"JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH",3
"PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING",3
"REVUE INTERNATIONALE DE GEOMATIQUE",3
"XXIV ISPRS CONGRESS IMAGING TODAY FORESEEING TOMORROW COMMISSION IV",3
"XXIV ISPRS CONGRESS: IMAGING TODAY FORESEEING TOMORROW COMMISSION III",3
"2021 INTERNATIONAL CONFERENCE ON 3D VISION (3DV 2021)",2
"2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION WORKSHOPS CVPRW 2022",2
"CARTOGRAPHIC JOURNAL",2
"COMPUTERS ENVIRONMENT AND URBAN SYSTEMS",2
"CYBERGEO-EUROPEAN JOURNAL OF GEOGRAPHY",2
"DOCUMENT ANALYSIS AND RECOGNITION ICDAR 2021 PT IV",2
"ENVIRONMENTAL MONITORING AND ASSESSMENT",2
"JOURNAL OF SPATIAL INFORMATION SCIENCE",2
"MULTIMODAL SCENE UNDERSTANDING: ALGORITHMS APPLICATIONS AND DEEP LEARNING",2
"2018 21ST INTERNATIONAL CONFERENCE ON INFORMATION FUSION (FUSION)",1
"2018 EIGHTH INTERNATIONAL CONFERENCE ON IMAGE PROCESSING THEORY TOOLS AND APPLICATIONS (IPTA)",1
"2018 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR)",1
"2018 OCEANS - MTS/IEEE KOBE TECHNO-OCEANS (OTO)",1
"2019 10TH INTERNATIONAL WORKSHOP ON THE ANALYSIS OF MULTITEMPORAL REMOTE SENSING IMAGES (MULTITEMP)",1
"2019 8TH EUROPEAN WORKSHOP ON VISUAL INFORMATION PROCESSING (EUVIP 2019)",1
"2019 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA)",1
"2019 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)",1
"2019 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2019)",1
"2019 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION WORKSHOPS (ICCVW)",1
"2019 INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA)",1
"2020 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)",1
"2020 IEEE VISUALIZATION CONFERENCE - SHORT PAPERS (VIS 2020)",1
"2020 INTERNATIONAL CONFERENCE ON 3D VISION (3DV 2020)",1
"2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021)",1
"2022 26TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR)",1
"2022 IEEE INTERNATIONAL WORKSHOP ON METROLOGY FOR THE SEA LEARNING TO MEASURE SEA HEALTH PARAMETERS (METROSEA)",1
"2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2022)",1
"20TH INTERNATIONAL CONFERENCE ON CONTENT-BASED MULTIMEDIA INDEXING CBMI 2023",1
"33RD ANNUAL ACM SYMPOSIUM ON APPLIED COMPUTING",1
"36TH ANNUAL ACM SYMPOSIUM ON APPLIED COMPUTING SAC 2021",1
"8TH INTERNATIONAL WORKSHOP 3D-ARCH: 3D VIRTUAL RECONSTRUCTION AND VISUALIZATION OF COMPLEX ARCHITECTURES",1
"ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS",1
"ADVANCES IN REMOTE SENSING AND GEO INFORMATICS APPLICATIONS",1
"ADVANCES IN SPACE RESEARCH",1
"AGRICULTURAL WATER MANAGEMENT",1
"ALGORITHMS",1
"ALIFE 2019: THE 2019 CONFERENCE ON ARTIFICIAL LIFE",1
"ANIMALS",1
"CANADIAN JOURNAL OF FOREST RESEARCH",1
"CHILDREN-BASEL",1
"CLIMATE SERVICES",1
"COMPUTER GRAPHICS FORUM",1
"COMPUTER VISION AND IMAGE UNDERSTANDING",1
"COMPUTER VISION ECCV 2022 PT XXXVIII",1
"CRYOSPHERE",1
"DOCUMENT ANALYSIS SYSTEMS DAS 2022",1
"EARTH SYSTEM SCIENCE DATA",1
"EGYPTIAN JOURNAL OF REMOTE SENSING AND SPACE SCIENCES",1
"FRONTIERS IN ECOLOGY AND EVOLUTION",1
"GEO-SPATIAL INFORMATION SCIENCE",1
"GEOPHYSICAL RESEARCH LETTERS",1
"GEOSPATIAL TECHNOLOGIES FOR LOCAL AND REGIONAL DEVELOPMENT",1
"IEEE TRANSACTIONS ON SIGNAL PROCESSING",1
"IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM",1
"INTERNATIONAL CONFERENCE ON MACHINE LEARNING VOL 80",1
"INTERNATIONAL CONFERENCE ON SPACE OPTICS-ICSO 2018",1
"INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION",1
"INTERNATIONAL JOURNAL OF COMPUTER VISION",1
"INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS",1
"INTERNATIONAL JOURNAL OF DIGITAL EARTH",1
"IRANIAN JOURNAL OF SCIENCE AND TECHNOLOGY-TRANSACTIONS OF CIVIL ENGINEERING",1
"ISPRS TC IV 3RD BIM/GIS INTEGRATION WORKSHOP AND 15TH 3D GEOINFO CONFERENCE 2020",1
"ISPRS TC IV MID-TERM SYMPOSIUM 3D SPATIAL INFORMATION SCIENCE - THE ENGINE OF CHANGE",1
"ISPRS TC V MID-TERM SYMPOSIUM GEOSPATIAL TECHNOLOGY - PIXEL TO PEOPLE",1
"IVAPP: PROCEEDINGS OF THE 15TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS VOL 3: IVAPP",1
"JOURNAL OF GEOVISUALIZATION AND SPATIAL ANALYSIS",1
"JOURNAL OF MARINE SCIENCE AND ENGINEERING",1
"JOURNAL OF RENEWABLE MATERIALS",1
"JOURNAL OF STRUCTURAL ENGINEERING",1
"JOURNAL OF URBAN MANAGEMENT",1
"LAND",1
"LANDSCAPE AND URBAN PLANNING",1
"MACHINE LEARNING AND KNOWLEDGE DISCOVERY IN DATABASES: RESEARCH TRACK ECML PKDD 2023 PT IV",1
"METHODS IN ECOLOGY AND EVOLUTION",1
"MM `20: PROCEEDINGS OF THE 28TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA",1
"MULTIMEDIA TOOLS AND APPLICATIONS",1
"NATURAL HAZARDS AND EARTH SYSTEM SCIENCES",1
"NATURE GEOSCIENCE",1
"NOISE MAPPING",1
"OCEANS 2019 - MARSEILLE",1
"PATTERN ANALYSIS AND APPLICATIONS",1
"PATTERN RECOGNITION",1
"PATTERN RECOGNITION LETTERS",1
"PROCEEDINGS OF THE 13TH INTERNATIONAL JOINT CONFERENCE ON KNOWLEDGE DISCOVERY KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT (KDIR) VOL 1:",1
"PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON WEB INFORMATION SYSTEMS AND TECHNOLOGIES (WEBIST)",1
"PROCEEDINGS OF THE 27TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA (MM'19)",1
"PROCEEDINGS OF THE 29TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA MM 2021",1
"PROCEEDINGS OF THE 30TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA MM 2022",1
"PROCEEDINGS OF THE 5TH WORKSHOP ON THE ANALYSIS UNDERSTANDING AND PROMOTION OF HERITAGE CONTENTS SUMAC 2023",1
"PROCEEDINGS OF THE 7TH ACM SIGSPATIAL INTERNATIONAL WORKSHOP ON GEOSPATIAL HUMANITIES GEOHUMANITIES 2023",1
"PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",1
"PROCEEDINGS OF WORKSHOPS AND POSTERS AT THE 13TH INTERNATIONAL CONFERENCE ON SPATIAL INFORMATION THEORY (COSIT 2017)",1
"REGIONAL STUDIES IN MARINE SCIENCE",1
"REMOTE SENSING IN ECOLOGY AND CONSERVATION",1
"REMOTE SENSING LETTERS",1
"ROUTLEDGE HANDBOOK OF LANDSCAPE ECOLOGY",1
"SENSORS",1
"SPACE SCIENCE REVIEWS",1
"STRUCTURE AND INFRASTRUCTURE ENGINEERING",1
"SUMAC'19: PROCEEDINGS OF THE 1ST WORKSHOP ON STRUCTURING AND UNDERSTANDING OF MULTIMEDIA HERITAGE CONTENTS",1
"TECTONICS",1
"TRANSACTIONS IN GIS",1
"URBAN CLIMATE",1
"VISAPP: PROCEEDINGS OF THE 14TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS VOL 4",1
"XXIV ISPRS CONGRESS CONGRESS IMAGING TODAY FORESEEING TOMORROW COMMISSION I",1
"XXIV ISPRS CONGRESS: IMAGING TODAY FORESEEING TOMORROW COMMISSION I",1
